t_ns,steering_tire_angle
1785938900522300476,0.03482099995017052
1785938900545610840,0.03547799959778786
1785938900562330643,0.0361349992454052
1785938900581832429,0.03744899854063988
1785938900602162404,0.040734000504016876
1785938900621321170,0.042704999446868896
1785938900641974964,0.04336199909448624
1785938900662127748,0.04336199909448624
1785938900682255860,0.045333001762628555
1785938900703278850,0.045990001410245895
1785938900723986949,0.047304000705480576
1785938900741397496,0.047304000705480576
1785938900762135228,0.046647001057863235
1785938900784818755,0.045333001762628555
1785938900804053364,0.041391000151634216
1785938900821985017,0.039420001208782196
1785938900842650715,0.03679199889302254
1785938900861739975,0.03547799959778786
1785938900881630734,0.03416400030255318
1785938900902110346,0.030222000554203987
1785938900921867821,0.025622999295592308
1785938900941891705,0.024309000000357628
1785938900964879626,0.02233799919486046
1785938900980979120,0.01839599944651127
1785938901005731677,0.015768000856041908
1785938901022362965,0.010511999949812889
1785938901041749932,0.007226999849081039
1785938901061930717,0.006570000201463699
1785938901081818660,0.0026279999874532223
1785938901102332417,-0.0013139999937266111
1785938901122726490,-0.0026279999874532223
1785938901141815590,-0.003942000214010477
1785938901162382276,-0.004598999861627817
1785938901181538195,-0.0052559999749064445
1785938901202871276,-0.009197999723255634
1785938901225228423,-0.012482999823987484
1785938901244991210,-0.013797000050544739
1785938901261942221,-0.014453999698162079
1785938901281560555,-0.01708200015127659
1785938901301635993,-0.01839599944651127
1785938901323462627,-0.020367000252008438
1785938901341593486,-0.020367000252008438
1785938901362204014,-0.020367000252008438
1785938901381728169,-0.02168099954724312
1785938901407410966,-0.02233799919486046
1785938901425254232,-0.02233799919486046
1785938901448784156,-0.02233799919486046
1785938901461623314,-0.022995000705122948
1785938901481914087,-0.024309000000357628
1785938901501827472,-0.025622999295592308
1785938901522047330,-0.025622999295592308
1785938901541404024,-0.025622999295592308
1785938901565459949,-0.025622999295592308
1785938901581629654,-0.026280000805854797
1785938901601926443,-0.026280000805854797
1785938901621551305,-0.026280000805854797
1785938901641133766,-0.026280000805854797
1785938901662840876,-0.026280000805854797
1785938901682469290,-0.026280000805854797
1785938901712468715,-0.026937000453472137
1785938901725027864,-0.026937000453472137
1785938901741339621,-0.026937000453472137
1785938901761476501,-0.026937000453472137
1785938901781567427,-0.027594000101089478
1785938901802155235,-0.030879000201821327
1785938901822646623,-0.03219300135970116
1785938901841445121,-0.03219300135970116
