t_ns,steering_tire_angle
1785941206396524384,-0.07358399778604507
1785941206416062551,-0.07292699813842773
1785941206436458543,-0.07292699813842773
1785941206456458104,-0.07292699813842773
1785941206476028111,-0.07292699813842773
1785941206497513426,-0.07292699813842773
1785941206530695962,-0.07292699813842773
1785941206535848994,-0.07292699813842773
1785941206556128310,-0.07292699813842773
1785941206575292318,-0.0722699984908104
1785941206596165992,-0.07095599919557571
1785941206615508567,-0.07095599919557571
1785941206638479187,-0.07095599919557571
1785941206656348841,-0.07095599919557571
1785941206678322142,-0.07095599919557571
1785941206695784356,-0.07095599919557571
1785941206715698826,-0.07029899954795837
1785941206736356108,-0.07029899954795837
1785941206756110827,-0.07029899954795837
1785941206776433472,-0.07029899954795837
1785941206796960349,-0.07029899954795837
1785941206815522126,-0.07029899954795837
1785941206841869357,-0.07029899954795837
1785941206856721069,-0.07029899954795837
1785941206875503783,-0.07029899954795837
1785941206897902508,-0.07029899954795837
1785941206915248462,-0.07029899954795837
1785941206935709352,-0.07029899954795837
1785941206955876184,-0.07029899954795837
1785941206975585557,-0.07029899954795837
1785941206996871503,-0.07029899954795837
1785941207015505603,-0.07029899954795837
1785941207036488242,-0.07029899954795837
1785941207056582910,-0.07029899954795837
1785941207075990063,-0.07095599919557571
1785941207096000152,-0.07161299884319305
1785941207115304742,-0.07358399778604507
1785941207136187921,-0.07358399778604507
1785941207155866509,-0.07358399778604507
1785941207175562954,-0.07358399778604507
1785941207199332485,-0.07358399778604507
1785941207220351701,-0.07358399778604507
1785941207235654119,-0.07292699813842773
1785941207257629436,-0.07292699813842773
1785941207275389742,-0.07292699813842773
1785941207295855337,-0.0722699984908104
1785941207316392134,-0.0722699984908104
1785941207336424272,-0.0722699984908104
1785941207356615488,-0.0722699984908104
1785941207375395545,-0.07161299884319305
1785941207396081852,-0.07095599919557571
1785941207416479636,-0.07095599919557571
1785941207436725894,-0.07095599919557571
1785941207455892655,-0.07095599919557571
1785941207475352802,-0.07095599919557571
1785941207495905376,-0.07095599919557571
1785941207518017243,-0.07095599919557571
1785941207539882924,-0.07095599919557571
1785941207557265967,-0.07095599919557571
1785941207574481419,-0.07095599919557571
1785941207595946765,-0.07095599919557571
1785941207615789167,-0.07095599919557571
1785941207636927460,-0.07095599919557571
1785941207656054219,-0.07095599919557571
1785941207677366310,-0.07095599919557571
1785941207698079115,-0.07095599919557571
1785941207717258483,-0.07095599919557571
1785941207736196019,-0.07095599919557571
1785941207755389788,-0.07095599919557571
1785941207775331202,-0.07029899954795837
1785941207795925666,-0.07029899954795837
1785941207816451327,-0.07029899954795837
1785941207838610299,-0.06964199990034103
1785941207859175130,-0.06964199990034103
1785941207876251761,-0.06964199990034103
1785941207896505443,-0.0689850002527237
1785941207918247824,-0.0689850002527237
1785941207938739499,-0.0689850002527237
1785941207959647255,-0.0689850002527237
1785941207975700518,-0.0689850002527237
1785941207995852181,-0.06832800060510635
1785941208017330423,-0.06767100095748901
1785941208035800196,-0.06767100095748901
1785941208058374481,-0.06767100095748901
1785941208075740435,-0.06832800060510635
1785941208100786975,-0.06964199990034103
1785941208116577701,-0.07095599919557571
1785941208135459298,-0.07095599919557571
1785941208157146476,-0.07095599919557571
1785941208175320621,-0.07095599919557571
1785941208196038322,-0.07292699813842773
1785941208215882900,-0.07358399778604507
1785941208236224746,-0.07358399778604507
1785941208258496843,-0.07358399778604507
1785941208276171353,-0.07358399778604507
1785941208295912376,-0.07358399778604507
1785941208315405709,-0.07358399778604507
1785941208336437853,-0.07358399778604507
1785941208358793858,-0.07358399778604507
1785941208375037112,-0.07358399778604507
1785941208395974757,-0.07358399778604507
1785941208417535466,-0.07358399778604507
1785941208436418952,-0.07292699813842773
1785941208455697332,-0.07292699813842773
1785941208475016514,-0.07292699813842773
1785941208495847179,-0.0722699984908104
1785941208515481190,-0.0722699984908104
1785941208542508543,-0.0722699984908104
1785941208556125360,-0.07161299884319305
1785941208575196180,-0.0722699984908104
1785941208595670191,-0.07292699813842773
1785941208614938523,-0.07358399778604507
1785941208636930769,-0.07358399778604507
1785941208655607527,-0.07358399778604507
1785941208675258658,-0.07424099743366241
1785941208697293625,-0.07489799708127975
1785941208715447866,-0.0755549967288971
1785941208735829809,-0.0755549967288971
1785941208755491693,-0.0755549967288971
1785941208775243660,-0.07489799708127975
1785941208795978577,-0.07424099743366241
1785941208815419684,-0.07424099743366241
1785941208836949960,-0.07424099743366241
1785941208857627979,-0.07424099743366241
1785941208875837806,-0.07424099743366241
1785941208895830102,-0.07424099743366241
1785941208915489394,-0.07358399778604507
1785941208938661525,-0.07358399778604507
1785941208958166411,-0.07358399778604507
1785941208975042682,-0.07358399778604507
1785941208997323835,-0.07358399778604507
1785941209015944686,-0.07358399778604507
1785941209036241858,-0.07358399778604507
1785941209057708004,-0.07358399778604507
1785941209075853668,-0.07358399778604507
1785941209097012154,-0.0755549967288971
1785941209115416836,-0.07686900347471237
1785941209137044780,-0.07686900347471237
1785941209156515552,-0.07686900347471237
1785941209174709475,-0.07686900347471237
1785941209195540172,-0.07752600312232971
1785941209215244841,-0.07818300276994705
1785941209235633088,-0.07818300276994705
1785941209255714412,-0.07818300276994705
1785941209276541045,-0.07818300276994705
1785941209297813231,-0.07686900347471237
1785941209315830602,-0.07686900347471237
1785941209335925239,-0.07686900347471237
1785941209356047044,-0.07686900347471237
1785941209375625244,-0.07621199637651443
1785941209396188283,-0.07489799708127975
1785941209415829429,-0.07292699813842773
1785941209441114443,-0.07292699813842773
1785941209455902121,-0.07292699813842773
1785941209474724964,-0.07292699813842773
1785941209495948924,-0.0722699984908104
