t_ns,v0,v1
1785948388053633674,0.4363323152065277,-1.0
1785948388153707952,0.4363323152065277,-1.0
1785948388260047633,0.4363323152065277,-1.0
1785948388353014659,0.4363323152065277,-1.0
1785948388454921120,0.4363323152065277,-1.0
1785948388557626708,0.4363323152065277,-1.0
1785948388655141262,0.4363323152065277,-1.0
1785948388753930638,0.4363323152065277,-1.0
1785948388861704154,0.4363323152065277,-1.0
1785948388955752172,0.4363323152065277,-1.0
1785948389054917399,0.4363323152065277,-1.0
1785948389155549742,0.4363323152065277,-1.0
1785948389264929354,0.4363323152065277,-1.0
1785948389357281034,0.4363323152065277,-1.0
1785948389459412461,0.4352758526802063,-1.0
1785948389556192017,0.4363323152065277,-1.0
1785948389660707036,0.2891787886619568,-1.0
1785948389762449460,0.34266048669815063,-1.0
1785948389866236040,0.4363323152065277,-1.0
1785948389953571251,0.22962217032909393,-1.0
1785948390061547429,0.19674941897392273,-1.0
1785948390157214567,0.37477222084999084,-1.0
1785948390255117133,0.09587448090314865,-1.0
1785948390353882668,0.1867290586233139,-1.0
1785948390458766434,0.2783132493495941,-1.0
1785948390555653065,0.1102634072303772,-1.0
1785948390655526025,-0.10384601354598999,-1.0
1785948390754121539,0.4363323152065277,-1.0
1785948390856841880,0.014554692432284355,-1.0
1785948390958762773,0.023505209013819695,-1.0
1785948391055157134,0.30776289105415344,-1.0
1785948391162828534,-0.2367236316204071,-1.0
1785948391254367806,-0.38857975602149963,-1.0
1785948391355726571,-0.4363323152065277,-1.0
1785948391453035294,-0.3893607556819916,-1.0
1785948391555700722,-0.4363323152065277,-1.0
1785948391652609274,-0.4363323152065277,-1.0
1785948391753607003,-0.4363323152065277,-1.0
1785948391854607005,-0.4363323152065277,-1.0
1785948391953518785,-0.4363323152065277,-1.0
1785948392052160060,-0.4363323152065277,-1.0
1785948392157311226,-0.4362607002258301,-1.0
1785948392254214529,-0.4363323152065277,-1.0
1785948392352299116,-0.4363323152065277,-1.0
1785948392456374698,-0.4363323152065277,-1.0
1785948392561971060,-0.4363323152065277,-1.0
