t_ns,steer_angle_cmd,steer_rate_cmd,vel_cmd,accel_cmd
1785948190157531843,-0.3779999911785126,-0.4363323152065277,-0.25,-0.02181396633386612
1785948190258500004,-0.3779999911785126,-0.4363323152065277,-0.25,0.011341002769768238
1785948190356077408,-0.3779999911785126,-0.4363323152065277,-0.25,0.01284973043948412
1785948190454959779,-0.3779999911785126,-0.4363323152065277,-0.25,0.03589636832475662
1785948190560838582,-0.3779999911785126,-0.4363323152065277,-0.25,0.04459293186664581
1785948190653638947,-0.3779999911785126,-0.4363323152065277,-0.25,0.017235461622476578
1785948190766682572,-0.3779999911785126,-0.4363323152065277,-0.25,-0.03899174556136131
1785948190872598848,-0.3779999911785126,-0.4363323152065277,-0.25,-0.017498953267931938
1785948190961827683,-0.3779999911785126,-0.4363323152065277,-0.25,-0.017456049099564552
1785948191058693322,-0.3779999911785126,-0.4363323152065277,-0.25,-0.016015689820051193
1785948191154914685,-0.3779999911785126,-0.4363323152065277,-0.25,-0.01025149691849947
1785948191256218472,-0.3779999911785126,-0.4363323152065277,-0.25,0.0012940728338435292
1785948191355916259,-0.3779999911785126,-0.4363323152065277,-0.25,0.024351058527827263
1785948191458316622,-0.3779999911785126,-0.4363323152065277,-0.25,0.018635539337992668
1785948191558573530,-0.3779999911785126,-0.4363323152065277,-0.25,0.05175141990184784
1785948191656283322,-0.3779999911785126,-0.4363323152065277,-0.25,0.047496553510427475
1785948191755533159,-0.3779999911785126,-0.4363323152065277,-0.25,0.09939133375883102
1785948191861425595,-0.3779999911785126,-0.4363323152065277,-0.25,0.16569793224334717
1785948191958048218,-0.3779999911785126,-0.4363323152065277,-0.25,-0.018531372770667076
1785948192056927613,-0.3779999911785126,-0.4363323152065277,-0.25,-0.12558913230895996
1785948192156478835,-0.3779999911785126,-0.4363323152065277,-0.25,-0.07384417206048965
1785948192259145319,-0.3779999911785126,-0.4363323152065277,-0.25,-0.06365852057933807
